0,"","","","","","","","","","","","",""
11,"Mean Annual Number of Days With Minimum Temperature <= 32 For 1981-2010","Mean annual number of days with a minimum temperature <= 32 degrees F. The number of freezing days exhibits a smooth north-south gradient.","Southeast","","","CLIMATE OF THE SOUTHEAST U.S.","","","","","","",""
12,"Gulf Coast Storm Surges","The location and height of 195 peak storm surges along the US Gulf Coast identified in SURGEDAT.  From Needham and Keim (2011)","Southeast","Observed","","CLIMATE OF THE SOUTHEAST U.S.","","SURGEDAT ","http://surge.srcc.lsu.edu","","","",""
13,"Number of Tornadoes Greater Than or Equal to F2 / EF-2","Number of tornadoes of F2/EF-2 intensity and greater by county from 1950 to 2010. Variations from one county to the next are affected by track length and county size. Higher numbers are seen in the west","Southeast","","","CLIMATE OF THE SOUTHEAST U.S.","","","","","","",""
14,"1895-2011 trends in temperature anomaly and precipitation anomaly","1895-2011 trends in temperature anomaly (F/decade) and precipitation anomaly (inches/decade) based on a new gridded version of the COOP data from the National Climatic Data Center (R. Vose, personal communication, June 06, 2011) for the Southeast U.S., for each season as well as the year as a whole. Only values statistically significant at the 95% confidence level are displayed. Statistical significance of trends was assessed using Kendalls tau coefficient. The test using tau is a non-parametric hypothesis test.","Southeast","Observed","","CLIMATE OF THE SOUTHEAST U.S.","","Climate Division Database","ftp://ncdcftp/pub/upload/7days","","","",""
15,"Annual temperature trends at six climate divisions in the Southeast region ","Decadal variability is the dominant characteristic.","Southeast","Observed","","CLIMATE OF THE SOUTHEAST U.S.","","Climate Division Database","ftp://ncdcftp/pub/upload/7days","","","",""
16,"Summer temperature trends at six climate divisions in the Southeast region ","All of these CDs have seen warm conditions in the 2000s.","Southeast","Observed","","CLIMATE OF THE SOUTHEAST U.S.","","Climate Division Database","ftp://ncdcftp/pub/upload/7days","","","",""
17,"Change in Annual Number of Days With Maximum Temperature >= 95 ","Difference in cumulative number of days with a maximum temperature >= 95F between 1971-2010 and 1931-1970 using data from the GHCN. Most stations have experienced little change or decreases. The overall field of differences is statistically significant at the 95% confidence level.","Southeast","","","CLIMATE OF THE SOUTHEAST U.S.","","","","","","",""
18,"Change in Annual Number of Days With Minimum Temperature >= 75 1971-2010 minus 1931-1970","Number of days with a minimum temperature >= 75F. Most stations have experienced little change or increases. The overall field of differences is not statistically significant at the 95% confidence level.","Southeast","","","CLIMATE OF THE SOUTHEAST U.S.","","","","","","",""
19,"Change in Annual Number of Days With Minimum Temperature <= 32 1971-2010 minus 1931-1970","Number of days with a minimum temperature <= 32F. Most stations have experienced small changes or decreases. Decreases are most common in the north. The overall field of differences is not statistically significant at the 95% confidence level.","Southeast","","","CLIMATE OF THE SOUTHEAST U.S.","","","","","","",""
20,"Change in Cumulative Number of Days With Minimum Temperature <= 10 1971-2010 minus 1931-1970","number of days with a minimum temperature <= 10F. Most stations have experienced decreases in the north. The overall field of differences is not statistically significant at the 95% confidence level.","Southeast","","","CLIMATE OF THE SOUTHEAST U.S.","","","","","","",""
21,"Precipitation Anomalies","Precipitation anomaly (deviations from the 1901-1960 average, inches) for annual (black), winter (blue), spring (green), summer (red), and fall (orange), for the Southeast U.S. Dashed lines indicate the best fit by minimizing the chi-square error statistic. Based on data from the National Climatic Data Center for the NWS Cooperative Observer Network. Trends are statistically significant for the summer and fall seasons.","Southeast","Observed","","CLIMATE OF THE SOUTHEAST U.S.","","Climate Division Database","ftp://ncdcftp/pub/upload/7days","","","",""
22,"Annual precipitation trends at six climate divisions in the Southeast region.","Time series are dominated by decadal scale variability.","Southeast","Observed","","CLIMATE OF THE SOUTHEAST U.S.","","Climate Division Database","ftp://ncdcftp/pub/upload/7days","","","",""
23,"Summer precipitation trends at six climate divisions in the Southeast region.","Time series are dominated by decadal scale variability.","Southeast","Observed","","CLIMATE OF THE SOUTHEAST U.S.","","Climate Division Database","ftp://ncdcftp/pub/upload/7days","","","",""
24,"Time series of the extreme precipitation index ","Time series of the extreme precipitation index for the Southeast region for the occurrence of 1-day, 1 in 5 year extreme precipitation events. The dashed line indicates the best fit by minimizing the chi-square error statistic. Based on data from the National Climatic Data Center for the NWS Cooperative Observer Network. Only stations with less than 10% missing daily precipitation data for the period 1895-2010 are used in this analysis. Events are first identified for each individual station by ranking all daily precipitation values and choosing the top N/5 events, where N is the number of years of data for that particular station. Then, event numbers for each year are averaged for all stations in each 1x1 grid box. Finally, a regional average is determined by averaging the values for the individual grid boxes. This regional average is the extreme precipitation index. For both the annual and warm season time series, the trends are upward and highly statistically significant (at the p=0.01 level). There is a statistically significant upward trend of 3%/decade.","Southeast","Observed","","CLIMATE OF THE SOUTHEAST U.S.","","Climate Division Database","ftp://ncdcftp/pub/upload/7days","","","",""
25,"Change in Cumulative Number of Days With Precipitation >= 2 inches 1971-2010 minus 1931-1970","Difference in cumulative number of days with precipitation >= 2 inches and between 1971-2010 and 1931-1970 using data from the Global Historical Climatology Network (GHCN).Many stations across central portion of region show increases with southern areas showing a mix of increases and decreases. The overall field of differences is statistically significant at the 95% confidence level.","Southeast","","","CLIMATE OF THE SOUTHEAST U.S.","","","","","","",""
26,"Change in Cumulative Number of Days With Precipitation >= 4 inches 1971-2010 minus 1931-1970","Many stations in the west show increases, while there is a mix of increases and decreases in the east. The overall field of differences is statistically significant at the 95% confidence level.","Southeast","","","CLIMATE OF THE SOUTHEAST U.S.","","","","","","",""
27,"Global mean sea level ","Global mean sea level from 1870 to 2008 (from Church et al. 2010) shows a steady rise.","Southeast","","","CLIMATE OF THE SOUTHEAST U.S.","","","","","","",""
28,"CMIP3 Models Listing","Listing of the 15 models used for the CMIP3 simulations (left column). The 11 models used in the daily statistically-downscaled (Daily_CMIP3) analyses are indicated (right column). For detailed characteristics and documentation of the CMIP3 models, see:  http://www-pcmdi.llnl.gov/ipcc/model_documentation/ipcc_model_documentation.php","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","CMIP3","http://www-pcmdi.llnl.gov/ipcc/about_ipcc.php","","","",""
29,"NARCCAP Models Listing","Combinations of the 4 GCMs and 6 RCMs that make up the 9 NARCCAP dynamically-downscaled model simulations. For detailed characteristics and documentation of the NARCCAP models, see:http://www.narccap.ucar.edu/data/model-info.html","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
30,"CMIP3, MULTI-MODEL MEAN SIMULATION Temperature Difference (F) from 1971-2000","Simulated difference in mean annual temperature (F) for the Southeast region, for each future time period (2021-2050, 2041-2070, and 2071-2099) with respect to the reference period of 1971-2000. These fields are multi-model means from the 15 CMIP3 global climate simulations for the high (A2) and low (B1) emissions scenarios. Color with stippling (category 3) indicates that more than 50% of the models show a statistically significant change in temperature, and more than 67% agree on the sign of the change (see text). Temperature changes increase throughout the 21st century, more rapidly for the high emissions scenario.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","CMIP3_TTest","","","","",""
31,"NARCCAP, SRES A2, TEMPERATURE CHANGE","Simulated difference in annual and seasonal mean temperature (F) for the Southeast region, for 2041-2070 with respect to the reference period of 1971-2000. These fields are multi-model means from 9 NARCCAP regional climate simulations for the high (A2) emissions scenario. Note that the color scale is different from that of Fig. 24. Temperature changes for the NARCCAP simulations are similar to those for the CMIP3 global models (Fig. 24, middle left panel). Seasonal changes are of greatest magnitude in summer, and least in spring.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
32,"Model mean temperature scatterplot (annual)","Simulated annual mean temperature change (F) for the Southeast region, for each future time period (2021-2050, 2041-2070, and 2071-2099) with respect to the reference period of 1971-2000. Values are given for all 15 CMIP3 models for the high (SRESA2) and low (SRESB1) emissions scenarios. Also shown for 2041-2070 (high emissions scenario only) are values for the 9 NARCCAP models (NARCCAP), as well as for the 4 GCMs used to drive the NARCCAP simulations (NARCCAP_GCMs). The small plus signs indicate each individual model and the circles depict the multi-model means. The range of model-simulated changes is large compared to the mean differences between A2 and B1 in the early and middle 21st century. By the end of the 21st century, the difference between A2 and B1 is comparable to the range of B1 simulations.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","CMIP3, NARCCAP","http://www-pcmdi.llnl.gov/ipcc/about_ipcc.php, http://www.narccap.ucar.edu/data/index.html","","","",""
33,"Model mean temperature scatterplot (seasonal)","Simulated seasonal mean temperature change (F) for the Southeast region, for each future time period (2021-2050, 2041-2070, and 2071-2099) with respect to the reference period of 1971-2000. Values are given for all 15 CMIP3 models for the high (A2) emissions scenario. The small plus signs indicate each individual model and the circles depict the multi-model means. Seasons are indicated as follows: winter (DJF, December-January-February), spring (MAM, March-April-May), summer (JJA, June-July-August), and fall (SON, September-October-November). The range of individual model-simulated changes is large compared to the differences among seasons and comparable to the differences between periods.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","CMIP3","http://www-pcmdi.llnl.gov/ipcc/about_ipcc.php","","","",""
34,"Model mean temperature distribution summary (annual)","Distribution of the simulated annual mean change in temperature (F) from the 15 CMIP3 models for the Southeast region. The lowest, 25th percentile, median, 75th percentile and highest values are given for the high (A2) and low (B1) emissions scenarios, and for each future time period (2021-2050, 2041-2070, and 2071-2099) with respect to the reference period of 1971-2000.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","CMIP3","http://www-pcmdi.llnl.gov/ipcc/about_ipcc.php","","","",""
35,"NARCCAP, SRES A2, ANNUAL NUMBER OF DAYS TMAX > 95F","Simulated difference in the mean annual number of days with a maximum temperature greater than 95F (TMAX > 95F) for the Southeast region, for the 2041-2070 time period with respect to the reference period of 1980-2000 (top). Color with stippling (category 3) indicates that more than 50% of the models show a statistically significant change in the number of days, and more than 67% agree on the sign of the change (see text). Mean annual number of days with TMAX > 95F for the 1980-2000 reference period (bottom left). Simulated mean annual number of days with TMAX > 95F for the 2041-2070 future time period (bottom right). These fields are multi-model means from 8 NARCCAP regional climate simulations for the high (A2) emissions scenario. Note that top and bottom color scales are different. The changes are upward everywhere. Increases are smallest at high elevations and largest in the south of the region.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
36,"NARCCAP, SRES A2, ANNUAL NUMBER OF DAYS TMIN < 10F","Simulated difference in the mean annual number of days with a minimum temperature less than 10F (TMIN < 10F) for the Southeast region, for the 2041-2070 time period with respect to the reference period of 1980-2000 (top). Color only (category 1) indicates that less than 50% of the models show a statistically significant change in the number of days. Color with stippling (category 3) indicates that more than 50% of the models show a statistically significant change in the number of days, and more than 67% agree on the sign of the change (see text). Mean annual number of days with TMIN < 10F for the 1980-2000 reference period (bottom left). Simulated mean annual number of days with TMIN < 10F for the 2041-2070 future time period (bottom right). These fields are multi-model means from 8 NARCCAP regional climate simulations for the high (A2) emissions scenario. Decreases are largest in the north and become smaller southward, in a pattern similar to the present-day climatology","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
37,"NARCCAP, SRES A2, ANNUAL NUMBER OF DAYS TMIN < 32F","Simulated difference in the mean annual number of days with a minimum temperature less than 32F (TMIN < 32F) for the Southeast region, for the 2041-2070 time period with respect to the reference period of 1980-2000 (top). Color with stippling (category 3) indicates that more than 50% of the models show a statistically significant change in the number of days, and more than 67% agree on the sign of the change (see text). Mean annual number of days with TMIN < 32F for the 1980-2000 reference period (bottom left). Simulated mean annual number of days with TMIN < 32F for the 2041-2070 future time period (bottom right). These fields are multi-model means from 8 NARCCAP regional climate simulations for the high (A2) emissions scenario. Changes are downward everywhere. Decreases are largest in the north of the region and smallest in the southeast.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
38,"NARCCAP, SRES A2, ANNUAL MAXIMUM NUMBER OF CONSECUTIVE DAYS TMAX > 95F","Simulated difference in the mean annual maximum number of consecutive days with a maximum temperature greater than 95F (TMAX > 95F) for the Southeast region, for the 2041-2070 time period with respect to the reference period of 1980-2000 (top). Color with stippling (category 3) indicates that more than 50% of the models show a statistically significant change in the number of consecutive days, and more than 67% agree on the sign of the change (see text). Mean annual maximum number of consecutive days with TMAX > 95F for the 1980-2000 reference period (bottom left). Simulated mean annual maximum number of consecutive days with TMAX > 95F for the 2041-2070 future time period (bottom right). These fields are multi-model means from 8 NARCCAP regional climate simulations for the high (A2) emissions scenario. Note that top and bottom color scales are different. Increases are largest in the west and smallest in areas of high elevation, with a pattern similar to the present-day climatology ","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
39,"NARCCAP summary statistics (temperature)","Multi-model means and standard deviations of the simulated annual mean change in select temperature variables from 9 NARCCAP simulations for the Southeast region. Multi-model means from the 11 Daily_CMIP3 simulations are also shown for comparison. Analyses are for the 2041-2070 time period with respect to the reference period of 1971-2000, for the high (A2) emissions scenario.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
40,"NARCCAP, SRES A2, LENGTH OF FROST-FREE SEASON","Simulated difference in the mean annual length of the frost-free season for the Southeast region, for the 2041-2070 time period with respect to the reference period of 1980-2000 (top). Color with stippling (category 3) indicates that more than 50% of the models show a statistically significant change in the length of the frost-free season, and more than 67% agree on the sign of the change (see text). Annual mean length of the frost-free season for the 1980-2000 reference period (bottom left). Simulated mean annual length of the frost-free season for the 2041-2070 future time period (bottom right). These fields are multi-model means from 8 NARCCAP regional climate simulations for the high (A2) emissions scenario. Note that top and bottom color scales are different. The length of the frost-freeze season is simulated to increase throughout the region, with changes mostly in the 20-30 day range.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
41,"NARCCAP, SRES A2, ANNUAL TOTAL COOLING DEGREE DAYS","Simulated difference in the mean annual number of cooling degree days for the Southeast region, for the 2041-2070 time period with respect to the reference period of 1980-2000 (top). Color with stippling (category 3) indicates that more than 50% of the models show a statistically significant change in the number of cooling degree days, and more than 67% agree on the sign of the change (see text). Mean annual number of cooling degree days for the 1980-2000 reference period (bottom left). Simulated mean annual number of cooling degree days for the 2041-2070 future time period (bottom right). These fields are multi-model means from 8 NARCCAP regional climate simulations for the high (A2) emissions scenario. Note that top and bottom color scales are different. There are increases everywhere with the changes becoming larger from north to south. ","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
42,"NARCCAP, SRES A2, ANNUAL TOTAL HEATING DEGREE DAYS","Simulated difference in the mean annual number of heating degree days for the Southeast region, for the 2041-2070 time period with respect to the reference period of 1980-2000 (top). Color with stippling (category 3) indicates that more than 50% of the models show a statistically significant change in the number of heating degree days, and more than 67% agree on the sign of the change (see text). Mean annual number of heating degree days for the 1980-2000 reference period (bottom left). Simulated mean annual number of heating degree days for the 2041-2070 future time period (bottom right). These fields are multi-model means from 8 NARCCAP regional climate simulations for the high (A2) emissions scenario. There are decreases everywhere with the largest changes in the north.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
43,"Model mean precipitation distribution summary (annual)","Distribution of the simulated annual mean change in precipitation (%) from the 15 CMIP3 models for the Southeast region. The lowest, 25th percentile, median, 75th percentile and highest values are given for the high (A2) and low (B1) emissions scenarios, and for each future time period (2021-2050, 2041-2070, and 2071-2099) with respect to the reference period of 1971-2000. Also shown are values from the distribution of the 9 NARCCAP models (NARCCAP) for 2041-2070, A2 only.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","CMIP3, NARCCAP","http://www-pcmdi.llnl.gov/ipcc/about_ipcc.php, http://www.narccap.ucar.edu/data/index.html","","","",""
44,"CMIP3 MULTI-MODEL MEAN SIMULATION Precipitation Difference (%) from 1971-2000","Simulated difference in annual mean precipitation (%) for the Southeast region, for each future time period (2021-2050, 2041-2070, and 2071-2099) with respect to the reference period of 1971-2000. These projections are multi-model means from the 15 CMIP3 global climate simulations for the high (A2) and low (B1) emissions scenarios. Color only (category 1) indicates that less than 50% of the models show a statistically significant change in precipitation. Color with stippling (category 3) indicates that more than 50% of the models show a statistically significant change in precipitation, and more than 67% agree on the sign of the change. Whited out areas (category 2) indicate that more than 50% of the models show a statistically significant change in precipitation, but less than 67% agree of the sign of the change (see text). Generally, the models simulate increases in the north and east and decreases in the south and west parts of the region. ","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","CMIP3_TTest","","","","",""
45,"Model mean precipitation distribution summary (seasonal)","Distribution of the simulated seasonal mean change in precipitation (%) from the 15 CMIP3 models for the Southeast region. The lowest, 25th percentile, median, 75th percentile and highest values are given for the high (A2) and low (B1) emissions scenarios, and for the 2071-2099 time period with respect to the reference period of 1971-2000","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","CMIP3","http://www-pcmdi.llnl.gov/ipcc/about_ipcc.php","","","",""
46,"NARCCAP, SRES A2, PRECIPITATION CHANGE","Simulated difference in annual and seasonal mean precipitation (%) for the Southeast region, for 2041-2070 with respect to the reference period of 1971-2000. These projections are multi-model means from 9 NARCCAP regional climate simulations for the high (A2) emissions scenario. Note that top and bottom color scales are unique, and different from that of Fig. 35. The annual change is near zero in the west and downward in southern Florida, with increases of 2-6% throughout the remainder of the region. Changes are mostly upward in winter, spring, and fall, and downward in summer.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
47,"Model mean precipitation scatterplot (annual)","Simulated annual mean precipitation change (%) for the Southeast region, for each future time period (2021-2050, 2041-2070, and 2071-2099) with respect to the reference period of 1971-2000. Values are given for all 15 CMIP3 models for the high (SRESA2) and low (SRESB1) emissions scenarios. Also shown for 2041-2070 (high emissions scenario only) are values for the 9 NARCCAP models (NARCCAP), as well as for the 4 GCMs used to drive the NARCCAP simulations (NARCCAP_GCMs). The small plus signs indicate each individual model and the circles depict the multi-model means. The ranges of model-simulated changes are very large compared to the mean changes and to differences between the A2 and B1 scenarios. ","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","CMIP3, NARCCAP","http://www-pcmdi.llnl.gov/ipcc/about_ipcc.php, http://www.narccap.ucar.edu/data/index.html","","","",""
48,"Model mean precipitation scatterplot (seasonal)","Simulated seasonal mean precipitation change (%) for the Southeast region, for each future time period (2021-2050, 2041-2070, and 2071-2099) with respect to the reference period of 1971-2000. Values are given for all 15 CMIP3 models for the high (A2) emissions scenario. Also shown are values for the 9 NARCCAP models (NARCCAP) for 2041-2070. The small plus signs indicate each individual model and the circles depict the multi-model means. Seasons are indicated as follows: winter (DJF, December-January-February), spring (MAM, March-April-May), summer (JJA, June-July-August), and fall (SON, September-October-November). The ranges of model-simulated changes are large compared to the mean changes and to differences between the seasons. ","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","CMIP3, NARCCAP","http://www-pcmdi.llnl.gov/ipcc/about_ipcc.php, http://www.narccap.ucar.edu/data/index.html","","","",""
49,"NARCCAP, SRES A2, ANNUAL NUMBER OF DAYS PRECIPITATION >1 INCH","Simulated percentage difference in the mean annual number of days with precipitation of greater than one inch for the Southeast region, for the 2041-2070 time period with respect to the reference period of 1980-2000 (top). Color only (category 1) indicates that less than 50% of the models show a statistically significant change in the number of days. Color with stippling (category 3) indicates that more than 50% of the models show a statistically significant change in the number of days, and more than 67% agree on the sign of the change (see text). Mean annual number of days with precipitation of greater than one inch for the 1980-2000 reference period (bottom left). Simulated mean annual number of days with precipitation of greater than one inch for the 2041-2070 future time period (bottom right). These fields are multi-model means from 8 NARCCAP regional climate simulations for the high (A2) emissions scenario. The models simulate general increases with the largest changes in the north. ","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
50,"NARCCAP, SRES A2, MAXIMUM CONSECUTIVE NUMBER OF DAYS PRECIP < 3MM","Simulated difference in the mean annual maximum number of consecutive days with precipitation of less than 0.1 inches/3 mm for the Southeast region, for the 2041-2070 time period with respect to the reference period of 1980-2000 (top). Color only (category 1) indicates that less than 50% of the models show a statistically significant change in the number of consecutive days. Color with stippling (category 3) indicates that more than 50% of the models show a statistically significant change in the number of consecutive days, and more than 67% agree on the sign of the change. Whited out areas (category 2) indicate that more than 50% of the models show a statistically significant change in the number of consecutive days, but less than 67% agree of the sign of the change (see text). Mean annual maximum number of consecutive days with precipitation of less than 0.1 inches/3 mm for the 1980-2000 reference period (bottom left). Simulated mean annual maximum number of consecutive days with precipitation of less than 0.1 inches/3 mm for the 2041-2070 future time period (bottom right). These fields are multi-model means from 8 NARCCAP regional climate simulations for the high (A2) emissions scenario. The models simulate little change over the majority of the region, with slight increases in the south.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
51,"NARCCAP summary statistics (precipitation)","Multi-model means and standard deviations of the simulated annual mean change in select precipitation variables from 9 NARCCAP simulations for the Southeast region. Multi-model means from the 11 Daily_CMIP3 simulations are also shown for comparison. Analyses are for the 2041-2070 time period with respect to the reference period of 1971-2000, for the high (A2) emissions scenario.","Southeast","Simulated","","CLIMATE OF THE SOUTHEAST U.S.","","NARCCAP","http://www.narccap.ucar.edu/data/index.html","","","",""
52,"Observed decadal mean annual temperature change ","Observed decadal mean annual temperature change (deviations from the 1901-1960 average, F) for the Southeast U.S. (black line). Based on a new gridded data set from NCDC for the NWS Cooperative Observer Network (R. Vose, personal communication, June 06, 2011). Gray lines indicate the 20th and 21st century simulations from 15 CMIP3 models, for the high (A2) emissions scenario. The early 20th century rate of warming and the mid-century rate of cooling are not simulated by the models, but the late-century rate of warming is similar to the rate of warming in the models.","Southeast","Observed","","CLIMATE OF THE SOUTHEAST U.S.","","Climate Division Database","ftp://ncdcftp/pub/upload/7days","","","",""
53,"Observed decadal mean seasonal temperature change ","Observed decadal mean temperature change (deviations from the 1901-1960 average, F) for the Southeast U.S. for winter (top left, blue line), spring (top right, green line), summer (bottom left red line), and fall (bottom right, orange line). Based on a new gridded data set from NCDC for the NWS Cooperative Observer Network (R. Vose, personal communication, June 06, 2011). Gray lines indicate 20th and 21st century simulations from 15 CMIP3 models, for the high (A2) emissions scenario. The observed amount of 20th century warming is within the envelope of model simulates in winter and spring, but it is less than model simulations in summer and fall.","Southeast","Observed","","CLIMATE OF THE SOUTHEAST U.S.","","Climate Division Database","ftp://ncdcftp/pub/upload/7days","","","",""
54,"Observed decadal mean annual precipitation change ","Observed decadal mean annual precipitation change (deviations from the 1901-1960 average, %) for the Southeast U.S. (black line). Based on a new gridded data set from NCDC for the NWS Cooperative Observer Network (R. Vose, personal communication, June 06, 2011). Gray lines indicate the 20th and 21st century simulations from 15 CMIP3 models, for the high (A2) emissions scenario. Observed precipitation variations are within the model simulations.","Southeast","Observed","","CLIMATE OF THE SOUTHEAST U.S.","","Climate Division Database","ftp://ncdcftp/pub/upload/7days","","","",""
